Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
3,1633098305510,01/10/2021 14:25:05,1633098304454,-7,01/10/2021 07:25:04,50681,20,questionnaire-9ki4,,16120919,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1347x695,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,Consent_Q-quantised,1
4,1633098305510,01/10/2021 14:25:05,1633098304455,-7,01/10/2021 07:25:04,50681,20,questionnaire-9ki4,,16120919,9ar5duyc,4764183,,complete,wtoirl,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1364x768,1347x695,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,9104
1,1633098379064,01/10/2021 14:26:19,1633098378390,-7,01/10/2021 07:26:18,50681,20,questionnaire-9ki4,,16121014,f9gpmhta,4764206,,complete,sajccw,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098475312,01/10/2021 14:27:55,1633098474124,-7,01/10/2021 07:27:54,50681,20,questionnaire-9ki4,,16121014,f9gpmhta,4764206,,complete,sajccw,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1366x768,1349x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,Consent_Q,Consent
3,1633098475517,01/10/2021 14:27:55,1633098474128,-7,01/10/2021 07:27:54,50681,20,questionnaire-9ki4,,16121014,f9gpmhta,4764206,,complete,sajccw,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1366x768,1349x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,Consent_Q-quantised,1
4,1633098475517,01/10/2021 14:27:55,1633098474129,-7,01/10/2021 07:27:54,50681,20,questionnaire-9ki4,,16121014,f9gpmhta,4764206,,complete,sajccw,,computer,Desktop or Laptop,Windows 8.1,Chrome 94.0.4606.61,1366x768,1349x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,95739
1,1633098551403,01/10/2021 14:29:11,1633098835765,-5,01/10/2021 09:33:55,50681,20,questionnaire-9ki4,,16121249,mb7c76tb,4764202,,complete,jozzeo,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.54,1366x768,1366x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098560407,01/10/2021 14:29:20,1633098844453,-5,01/10/2021 09:34:04,50681,20,questionnaire-9ki4,,16121249,mb7c76tb,4764202,,complete,jozzeo,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.54,1366x768,1349x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q,Consent
3,1633098560589,01/10/2021 14:29:20,1633098844461,-5,01/10/2021 09:34:04,50681,20,questionnaire-9ki4,,16121249,mb7c76tb,4764202,,complete,jozzeo,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.54,1366x768,1349x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q-quantised,1
4,1633098560589,01/10/2021 14:29:20,1633098844462,-5,01/10/2021 09:34:04,50681,20,questionnaire-9ki4,,16121249,mb7c76tb,4764202,,complete,jozzeo,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.54,1366x768,1349x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,END QUESTIONNAIRE,8697
