Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
2,1633098235436,01/10/2021 14:23:55,1633098230323,-5,01/10/2021 09:23:50,50681,20,questionnaire-pcei,,16120806,uidnl17m,4764161,,complete,alhjjr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1280x720,1280x578,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,13783
1,1633098220789,01/10/2021 14:23:40,1633098220671,-4,01/10/2021 10:23:40,50681,20,questionnaire-pcei,,16120812,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098225805,01/10/2021 14:23:45,1633098225732,-4,01/10/2021 10:23:45,50681,20,questionnaire-pcei,,16120812,ds8j1p87,4764163,,complete,xuxqdf,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,5061
1,1633098221734,01/10/2021 14:23:41,1633098221600,-4,01/10/2021 10:23:41,50681,20,questionnaire-pcei,,16120813,qpompu9d,4764164,,complete,qtujcq,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x969,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,BEGIN QUESTIONNAIRE,
2,1633100308650,01/10/2021 14:58:28,1633100308092,-4,01/10/2021 10:58:28,50681,20,questionnaire-pcei,,16120813,qpompu9d,4764164,,complete,qtujcq,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x969,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target2,No,END QUESTIONNAIRE,2086491
1,1633098238045,01/10/2021 14:23:58,1633098250821,-4,01/10/2021 10:24:10,50681,20,questionnaire-pcei,,16120826,v840wa12,4764166,,complete,eojkvr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x657,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098256107,01/10/2021 14:24:16,1633098267904,-4,01/10/2021 10:24:27,50681,20,questionnaire-pcei,,16120826,v840wa12,4764166,,complete,eojkvr,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.71,1366x768,1366x657,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,17084
1,1633098233279,01/10/2021 14:23:53,1633098233130,-7,01/10/2021 07:23:53,50681,20,questionnaire-pcei,,16120828,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633098251695,01/10/2021 14:24:11,1633098251584,-7,01/10/2021 07:24:11,50681,20,questionnaire-pcei,,16120828,2dotmwv5,4764168,,complete,zejpmh,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1183x687,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target2,No,END QUESTIONNAIRE,18454
1,1633098237732,01/10/2021 14:23:57,1633098237558,-4,01/10/2021 10:23:57,50681,20,questionnaire-pcei,,16120833,puz8oc63,4764169,,complete,lpjvxx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
